"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV1","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV3","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV4","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Niallia"
"ASV5","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"ASV6","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"ASV7","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV8","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV9","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV10","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Niallia"
"ASV11","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
"ASV12","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia"
"ASV13","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae",NA
"ASV14","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV15","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
"ASV16","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas"
"ASV17","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"ASV18","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV19","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV20","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas"
"ASV21","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV22","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV23","Bacteria","Bacillota","Bacilli","Caldalkalibacillales","Caldalkalibacillaceae","Caldalkalibacillus"
"ASV24","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV25","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV26","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV27","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Nesterenkonia"
"ASV28","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV29","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Kurthia"
"ASV30","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium"
"ASV31","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Halalkalibacterium"
"ASV32","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas"
"ASV33","Bacteria","Bacillota","Bacilli","Caldalkalibacillales","Caldalkalibacillaceae","Caldalkalibacillus"
"ASV34","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
"ASV35","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Coralloluteibacterium"
"ASV36","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae",NA
"ASV37","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"ASV38","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV39","Bacteria","Bacillota","Bacilli","Caldalkalibacillales","Caldalkalibacillaceae","Caldalkalibacillus"
"ASV40","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV41","Bacteria",NA,NA,NA,NA,NA
"ASV42","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales",NA,NA
"ASV43","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Coralloluteibacterium"
"ASV44","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas"
"ASV45","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae",NA
"ASV46","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium"
"ASV47","Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV48","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax"
"ASV49","Bacteria","Bacillota","Bacilli","Caldalkalibacillales","Caldalkalibacillaceae","Caldalkalibacillus"
"ASV50","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae",NA
"ASV51","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Metabacillus"
"ASV52","Bacteria","Bacillota","Bacilli","Caldalkalibacillales","Caldalkalibacillaceae","Caldalkalibacillus"
