Day,Gut,Villi,Set,N_-7,N_-8
1,H1,High,1,30,3
1,H2,High,1,23,0
1,N1,No,1,26,5
1,N2,No,1,75,4
2,H1,High,1,82,5
2,H2,High,1,57,2
2,N1,No,1,65,7
2,N2,No,1,51,3
3,H1,High,1,50,4
3,H2,High,1,56,2
3,N1,No,1,35,3
3,N2,No,1,43,5
4,H1,High,1,28,5
4,H2,High,1,35,2
4,N1,No,1,35,3
4,N2,No,1,39,7
5,H1,High,1,75,13
5,H2,High,1,84,5
5,N1,No,1,82,10
5,N2,No,1,105,9
1,H1,High,0,13,NA
1,H2,High,0,11,NA
1,N1,No,0,7,NA
1,N2,No,0,4,NA
2,H1,High,0,29,NA
2,H2,High,0,28,NA
2,N1,No,0,34,NA
2,N2,No,0,25,NA
3,H1,High,0,248,NA
3,H2,High,0,71,NA
3,N1,No,0,66,NA
3,N2,No,0,38,NA
4,H1,High,0,44,9
4,H2,High,0,NA,57
4,N1,No,0,83,9
4,N2,No,0,97,7
6,H1,High,1,64,7
6,H2,High,1,60,1
6,N1,No,1,72,5
6,N2,No,1,51,2
7,H1,High,1,45,6
7,H2,High,1,49,6
7,N1,No,1,52,4
7,N2,No,1,59,5
8,H1,High,1,NA,131
8,H2,High,1,89,14
8,N1,No,1,104,11
8,N2,No,1,130,5
9,H1,High,1,13,1
9,H2,High,1,6,1
9,N1,No,1,5,1
9,N2,No,1,13,0
10,H1,High,1,111,9
10,H2,High,1,112,17
10,N1,No,1,129,17
10,N2,No,1,110,8
11,H1,High,1,52,4
11,H2,High,1,54,7
11,N1,No,1,59,7
11,N2,No,1,52,7
12,H1,High,1,82,7
12,H2,High,1,1,0
12,N1,No,1,1,0
12,N2,No,1,77,15
13,H1,High,1,24,7
13,H2,High,1,22,0
13,N1,No,1,0,0
13,N2,No,1,20,1
14,H1,High,1,54,7
14,H2,High,1,47,2
14,N1,No,1,80,14
14,N2,No,1,9,0
