Gut,Hours,AbN
2.00,0.00,3188297
4.00,0.00,3432719
8.00,0.00,8026901
2.00,1.00,2185416
4.00,1.00,2870537
8.00,1.00,1802733
2.00,2.00,2308706
4.00,2.00,3113096
8.00,2.00,2749284
2.00,3.00,1432244
4.00,3.00,2467814
8.00,3.00,1624932
2.00,4.00,1482522
4.00,4.00,2244008
8.00,4.00,1937260
2.00,5.00,1367785
4.00,5.00,1963396
8.00,5.00,2413285
2.00,6.00,3055245
4.00,6.00,1518376
8.00,6.00,2571205
2.00,7.00,2053776
4.00,7.00,2552547
8.00,7.00,2346789
2.00,8.00,1745533
4.00,8.00,1265121
8.00,8.00,2790541
2.00,9.00,2546598
4.00,9.00,2506598
8.00,9.00,1717230
2.00,10.00,2068959
4.00,10.00,1473031
8.00,10.00,2194093
2.00,11.00,3114334
4.00,11.00,1909017
8.00,11.00,2028024
2.00,12.00,2530017
4.00,12.00,3063960
8.00,12.00,3117309
2.00,24.00,7463703
4.00,24.00,6496377
8.00,24.00,6508266
