Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,-5.7631,6.185,0.1844,-48.5441,-5.5908,NA,NA,0.1733,0.1955
B3,-7.8153,8.0585,0.2244,-65.2555,-5.5547,NA,NA,0.1904,0.2585
B4,0.0327,0.2739,0.0166,-3.6328,-5.2332,0.0157,0.0184,0.0159,0.0173
B5,-17.5121,19.3753,0.8763,-28.1243,-4.0459,0.8479,NA,0.8595,0.8931
B6,-27.2879,27.8964,0.7172,-71.7641,-5.4162,NA,NA,0.7011,0.7334
B7,-14.7034,15.1228,0.3781,-71.2329,-5.8594,NA,NA,0.3642,0.392
C2,-27.1941,28.0537,0.8566,-56.3273,-4.2168,NA,NA,0.8159,0.8974
C4,0.1442,-0.9098,0.0552,1.0607,-4.3802,0.0543,0.0562,0.0543,0.0562
C5,0.1681,1.1658,0.0603,1.3426,-3.7391,0.0589,0.0617,0.0589,0.0616
C6,0.3561,1.7251,0.2765,-0.8398,-5.8123,0.2751,0.2779,0.2751,0.2779
C7,0.2596,1.6367,0.1641,0.4619,-5.0646,0.1632,0.165,0.1632,0.165
D2,0.0112,-1.1285,0.0763,-2.1945,-5.4755,0.0756,0.0769,0.0756,0.0769
D3,0.0525,1.5626,0.0834,-1.1955,-4.3932,0.0825,0.0843,0.0825,0.0843
D4,0.3351,1.6443,0.2298,0.1037,-5.4811,0.2288,0.2308,0.2288,0.2308
D6,0.1389,0.8055,0.0675,0.3879,-5.352,0.0669,0.0682,0.0669,0.0682
D7,0.1056,-0.4628,0.0326,0.6059,-6.3954,0.0324,0.0328,0.0324,0.0328
E2,0.1188,0.4003,0.0322,1.3188,-5.7039,0.0318,0.0326,0.0318,0.0326
E3,0.1042,-0.6881,0.0469,0.4887,-5.0183,0.0462,0.0477,0.0462,0.0476
E4,0.2429,1.1991,0.1451,1.2342,-4.4846,0.143,0.1472,0.143,0.1472
E5,0.1084,0.5225,0.0368,0.6615,-6.3002,0.0366,0.037,0.0366,0.037
E6,0.1563,0.7681,0.0671,1.4971,-4.4959,0.0656,0.0687,0.0656,0.0686
E7,0.093,307.0952,1.2284,146.5355,-5.1335,NA,NA,1.2244,1.2324
